cust_id,acct_nbr,acct_type,account_active,starting_balance,ending_balance,cc_av_wd,cc_av_pm,cc_n_wd,cc_n_pm,ck_av_wd,ck_av_dp,ck_n_wd,ck_n_dp,sv_av_wd,sv_av_dp,sv_n_wd,sv_n_dp,end_start_balance_ratio
1363316,13633162,CK,1,116.05,947.22,,,,,-49.88426471,281.5533333,68,15,,,,,8.162171478
1363374,13633742,CK,1,237.33,0,,,,,-16.43380952,8.981666667,21,12,,,,,0
1362744,4.56114E+15,CC,1,328.5,682.28,-130.8171667,624.99,60,12,,,,,,,,,2.07695586
1363134,13631342,CK,1,163.08,0,,,,,-13.40133333,18.97,15,2,,,,,0
1363185,13631852,CK,0,2713.04,867.84,,,,,-93.71492063,253.6775,63,16,,,,,0.319877333
1363031,13630312,CK,1,629.03,1938.99,,,,,-159.1924194,657.6405882,62,17,,,,,3.082507988
1363180,13631803,SV,1,766.58,405.61,,,,,,,,,-188.65625,52.19863636,8,22,0.529116335
1362959,13629592,CK,0,924.76,4601.37,,,,,-208.4477143,1304.853571,70,14,,,,,4.975745058
1363280,4.56114E+15,CC,1,328.17,1000,-105.755,437.9225,56,12,,,,,,,,,3.047201146
1362487,4.56114E+15,CC,1,0,1548.23,-121.3230769,404.7025,26,4,,,,,,,,,
1362708,13627082,CK,1,279.44,325.81,,,,,-36.44597015,155.515625,67,16,,,,,1.165939021
1363205,13632053,SV,0,119.55,1240.58,,,,,,,,,-185.67,107.9473684,5,19,10.37708072
1363339,13633393,SV,1,182.39,522.48,,,,,,,,,-80.79,59.69,15,26,2.864630736
1363471,13634712,CK,1,204.13,153.91,,,,,-63.19114286,273.3225,70,16,,,,,0.753980307
1362830,13628302,CK,1,114.07,528.25,,,,,-51.922,210.5061111,65,18,,,,,4.630928377
1363036,13630362,CK,1,3301.91,41.36,,,,,-113.4247761,206.6147619,67,21,,,,,0.012526083
1362587,13625873,SV,1,628.68,1596.17,,,,,,,,,-117.42,66.8804,6,25,2.538922822
1363267,13632672,CK,1,1088.96,612.74,,,,,-143.3842857,682.9057143,70,14,,,,,0.562683661
1362932,13629322,CK,1,384.55,500.83,,,,,-72.35448276,215.642,58,20,,,,,1.302379404
1363307,4.56114E+15,CC,1,2484.57,1199.3,-102.0505714,707.835,70,12,,,,,,,,,0.48269922
1362924,13629243,SV,1,5131.67,5287.76,,,,,,,,,,13.135,,12,1.030416999
1362584,13625842,CK,1,119.01,12.5,,,,,-37.617,210.5941667,70,12,,,,,0.10503319
1362979,13629792,CK,1,254.2,292.07,,,,,-51.76637931,190.02,58,16,,,,,1.148977183
1362617,13626172,CK,1,237.72,53.6,,,,,-78.96071429,106.6726316,28,19,,,,,0.225475349
1363222,13632222,CK,1,189.85,839.81,,,,,-46.58544118,238.610625,68,16,,,,,4.423544904
1362985,4.56114E+15,CC,1,0,1000,-128.6432,776.0228571,50,7,,,,,,,,,
1362827,13628272,CK,1,2569.45,17.21,,,,,-112.0615,198.6404762,60,21,,,,,0.006697931
1363008,4.56114E+15,CC,0,1900.34,10,-148.2338095,563.5033333,21,9,,,,,,,,,0.005262216
1363331,13633313,SV,1,905.15,743.04,,,,,,,,,-171.6575,63.75421053,8,19,0.820902613
1362742,4.56114E+15,CC,1,2540.56,15.74,-99.31857143,271.9258333,7,12,,,,,,,,,0.006195484
1362890,13628903,SV,0,104.78,104.78,,,,,,,,,,,,,1
1362825,13628252,CK,0,2767.55,306.26,,,,,-148.075,214.9169565,50,23,,,,,0.110661054
1363354,13633542,CK,1,1045.26,48.9,,,,,-64.76314286,235.804,70,15,,,,,0.046782619
1363286,13632863,SV,0,117.92,1289.52,,,,,,,,,-76.36,211.0057143,4,7,10.93554953
1363135,13631353,SV,0,533.67,540.37,,,,,,,,,,1.34,,5,1.012554575
1363422,13634223,SV,0,423.51,14.34,,,,,,,,,-217.3411111,220.9857143,9,7,0.033859885
1363492,13634923,SV,1,952.38,1116.1,,,,,,,,,-596.042,184.9582353,5,17,1.171906172
1363404,13634043,SV,1,114.29,550.73,,,,,,,,,-79.294,61.469,10,20,4.818706798
1363070,13630703,SV,1,819.37,844.28,,,,,,,,,,2.600833333,,12,1.030401406
1363313,13633132,CK,1,170.09,10.42,,,,,-48.97347826,268.2916667,69,12,,,,,0.061261685
1363355,13633553,SV,1,2062.29,2229.96,,,,,,,,,-78.39333333,37.53117647,6,17,1.081302824
1362509,13625092,CK,1,182.38,10.7,,,,,-45.28880597,204.4314286,67,14,,,,,0.058668714
1362971,13629712,CK,1,3365.88,185.4,,,,,-119.4295082,195.4628571,61,21,,,,,0.055082178
1363014,13630143,SV,1,171.98,174.61,,,,,,,,,,0.219166667,,12,1.015292476
1363336,13633363,SV,1,241.37,126.05,,,,,,,,,-162.2814286,107.831,14,20,0.522227286
1362602,4.56114E+15,CC,1,4826.62,1661.44,-189.9867273,1367.036,55,10,,,,,,,,,0.344224323
1362700,13627002,CK,1,2729.91,4494.03,,,,,-21.07875,120.796875,8,16,,,,,1.646219106
1363352,13633522,CK,1,1290.57,851.45,,,,,-68.48092308,267.476,65,15,,,,,0.659747243
1363194,13631943,SV,0,210.5,455.67,,,,,,,,,-91.2875,87.18857143,4,7,2.164703088
1362637,13626373,SV,1,347.66,44.79,,,,,,,,,-171.29,3.054615385,2,13,0.128832768
1363294,4.56114E+15,CC,1,0,3157.9,-175.4388889,,18,,,,,,,,,,
1362643,13626433,SV,0,135.78,494.84,,,,,,,,,-56.465,48.74333333,4,12,3.644424805
1363091,13630913,SV,1,2303.88,2338.68,,,,,,,,,,2.9,,12,1.015104953
1362512,13625122,CK,1,2806.97,1295.93,,,,,-113.1598077,156.1882143,52,28,,,,,0.461682882
1363268,13632683,SV,1,498.64,180.08,,,,,,,,,-151.095,36.750625,6,16,0.361142307
1362703,4.56114E+15,CC,1,1237.86,947.81,-160.747619,595.24,42,12,,,,,,,,,0.765684326
1363485,4.56114E+15,CC,1,4161.24,1000,-95.38461538,2221.255,13,2,,,,,,,,,0.240312984
1363159,13631592,CK,1,346.65,35.8,,,,,-44.77860465,89.70166667,43,18,,,,,0.103274196
1362526,13625262,CK,1,2885.72,140.01,,,,,-122.16875,504.2033333,72,12,,,,,0.048518221
1362501,13625012,CK,1,356.4,1.8,,,,,-89.92298246,477.101,57,10,,,,,0.005050505
1363145,13631452,CK,1,186.89,168.44,,,,,-46.96870968,170.2123529,62,17,,,,,0.901278827
1363311,4.56114E+15,CC,1,0,2700,-385.7142857,,7,,,,,,,,,,
1363140,13631403,SV,1,106.46,896.45,,,,,,,,,-116.7733333,78.45421053,6,19,8.420533534
1362685,13626852,CK,1,450.2,516.78,,,,,-89.72,351.82625,62,16,,,,,1.147889827
1362687,13626872,CK,1,139.66,194.38,,,,,-62.17833333,218.8678947,66,19,,,,,1.391808678
1362720,4.56114E+15,CC,1,0,1000,-147.0588235,1000,34,4,,,,,,,,,
1363216,13632163,SV,1,136.52,105.54,,,,,,,,,-158.9923077,92.54181818,13,22,0.773073542
1362945,4.56114E+15,CC,1,288.79,505.56,-136.1755556,291.4008333,27,12,,,,,,,,,1.750614633
1362947,4.56114E+15,CC,1,0,1000,-128.1977778,80.735,9,2,,,,,,,,,
1363171,13631712,CK,1,5022.25,17.68,,,,,-195.8611111,349.2704762,63,21,,,,,0.003520335
1363346,13633462,CK,1,4428.89,1290.34,,,,,-182.0207143,261.2885185,56,27,,,,,0.291346139
1363241,13632413,SV,1,273.49,1649.8,,,,,,,,,-131.7045,182.3154545,20,22,6.032396066
1363117,4.56114E+15,CC,1,1568.22,1112.8,-201.9966667,653.5066667,36,12,,,,,,,,,0.709594317
1363316,4.56114E+15,CC,1,770.33,1000,-83.772,97.80916667,15,12,,,,,,,,,1.298144951
1363456,13634562,CK,1,113.11,1051.46,,,,,-29.22333333,309.39,42,7,,,,,9.29590664
1363185,4.56114E+15,CC,1,0,1000,-97.24666667,58.42666667,12,3,,,,,,,,,
1363447,4.56114E+15,CC,1,0,1000,-107.2218182,95.405,11,2,,,,,,,,,
1362708,4.56114E+15,CC,1,275.64,1000,-80.39666667,91.1375,21,12,,,,,,,,,3.627920476
1362578,4.56114E+15,CC,1,136.14,731.2,-121.8526471,298.0891667,34,12,,,,,,,,,5.370941678
1363333,13633333,SV,1,685.35,1896.2,,,,,,,,,-116.4014286,72.38678571,7,28,2.766761509
1363029,13630293,SV,1,244.25,304.93,,,,,,,,,-104.59,36.476875,5,16,1.248433982
1362805,13628052,CK,1,259.18,14.76,,,,,-49.96586667,233.5346667,75,15,,,,,0.056948839
1362485,4.56114E+15,CC,1,282.38,1100,-117.4594737,494.4966667,57,12,,,,,,,,,3.895460018
1362830,4.56114E+15,CC,1,640.41,88.21,-119.9913636,271.9516667,22,12,,,,,,,,,0.137739885
1363187,4.56114E+15,CC,1,1498.51,2300,-169.2983333,213.5175,18,12,,,,,,,,,1.534857959
1363222,4.56114E+15,CC,1,107.4,1000,-117.9843182,358.3516667,44,12,,,,,,,,,9.310986965
1362904,13629043,SV,1,198.9,201.9,,,,,,,,,,0.25,,12,1.015082956
1363213,13632133,SV,1,285.4,289.72,,,,,,,,,,0.36,,12,1.01513665
1363265,13632652,CK,1,3270.92,805.19,,,,,-159.8439623,214.5578571,53,28,,,,,0.246166216
1363272,13632723,SV,1,165.83,711.81,,,,,,,,,-180.5307692,115.7152,13,25,4.292407888
1363179,13631792,CK,1,2608.77,36.7,,,,,-92.08792453,128.255,53,18,,,,,0.014067932
1362868,13628682,CK,1,265.43,609.04,,,,,-69.08058824,265.3252632,68,19,,,,,2.294540934
1362562,4.56114E+15,CC,1,0,9500,-421.95375,626.89,24,1,,,,,,,,,
1363337,13633372,CK,1,8494.05,1180.64,,,,,-293.068806,560.1,67,22,,,,,0.138996121
1363254,13632543,SV,0,2001.91,2019.49,,,,,,,,,,2.511428571,,7,1.008781614
1363453,13634532,CK,1,216.97,0,,,,,-34.635,20.03666667,8,3,,,,,0
1362593,13625932,CK,1,4116.15,168.63,,,,,-123.5391935,168.7231818,62,22,,,,,0.040967895
1363252,13632523,SV,1,179.27,181.99,,,,,,,,,,0.226666667,,12,1.015172645
1363318,13633182,CK,1,102.33,89.49,,,,,-65.29544118,260.4264706,68,17,,,,,0.8745236
1363354,4.56114E+15,CC,1,2718.93,3000,-83.68483871,224.8083333,31,12,,,,,,,,,1.103375225
1362736,13627362,CK,1,2783.01,2014.49,,,,,-56.97464286,48.67058824,28,17,,,,,0.723852951
1363338,13633383,SV,1,293.58,675.18,,,,,,,,,-271.68,59.9445,3,20,2.299816064
1362791,13627913,SV,1,158.15,492.11,,,,,,,,,-165.4063636,82.82423077,11,26,3.11166614
1363459,4.56114E+15,CC,1,0,3000,-130.7819231,200.6,26,2,,,,,,,,,
1363057,4.56114E+15,CC,1,1010.39,938.43,-108.6505,374.6983333,40,12,,,,,,,,,0.928779976
1362857,13628573,SV,1,659.39,196.62,,,,,,,,,-196.1983333,47.628,6,15,0.298184686
1362591,4.56114E+15,CC,1,853.5,1548.57,-144.4109091,1012.795833,88,12,,,,,,,,,1.814376098
1363283,13632833,SV,1,166.05,2.74,,,,,,,,,-122.648,34.61,5,13,0.016501054
1362598,13625982,CK,0,6819.83,13.54,,,,,-232.4643137,504.939,51,10,,,,,0.001985387
1363038,13630382,CK,1,517.85,459.03,,,,,-66.38218182,256.5857143,55,14,,,,,0.886414985
1363147,4.56114E+15,CC,1,145.67,202.99,-105.8291429,304.0625,35,12,,,,,,,,,1.39349214
1363075,4.56114E+15,CC,1,43.95,397.19,-111.467619,363.015,42,12,,,,,,,,,9.037315131
1362964,13629642,CK,1,2173.35,621.41,,,,,-86.57016949,136.82,59,26,,,,,0.285922654
1362645,13626452,CK,1,546.72,1195.54,,,,,-97.40814286,533.385,70,14,,,,,2.186750073
1362902,13629023,SV,1,184.9,1554.71,,,,,,,,,-151.38,151.8464706,8,17,8.40838291
1362971,4.56114E+15,CC,1,0,1600,-139.1585,147.9333333,20,9,,,,,,,,,
1362796,13627963,SV,1,680.95,1087.47,,,,,,,,,-130.475,54.64470588,4,17,1.5969895
1362571,13625713,SV,1,2053.57,1741.09,,,,,,,,,-132.252,24.92571429,5,14,0.84783572
1362811,13628112,CK,1,2599.7,278.54,,,,,-89.76557143,233.0841176,70,17,,,,,0.107143132
1363006,13630063,SV,1,242.01,245.66,,,,,,,,,,0.304166667,,12,1.015082021
1362729,13627293,SV,1,120.41,122.21,,,,,,,,,,0.15,,12,1.014948925
1362700,4.56114E+15,CC,1,369.78,107.4,-143.2641176,226.86,17,12,,,,,,,,,0.290442966
1362973,13629732,CK,1,2803.5,898.28,,,,,-99.80983051,199.178,59,20,,,,,0.320413769
1363217,13632172,CK,0,2658.69,110.53,,,,,-97.12770492,241.1878571,61,14,,,,,0.041573106
1363012,13630123,SV,1,474.6,481.77,,,,,,,,,,0.5975,,12,1.015107459
1362978,13629782,CK,1,7035.43,278.86,,,,,-249.8934615,283.5404545,52,22,,,,,0.039636525
1362529,4.56114E+15,CC,0,1481.64,433.43,-149.357619,374.8183333,21,12,,,,,,,,,0.292533949
1363097,13630972,CK,1,220.02,26.6,,,,,-46.20449275,230.3192308,69,13,,,,,0.1208981
1363465,13634653,SV,1,573.48,590.92,,,,,,,,,,1.453333333,,12,1.030410825
1362526,4.56114E+15,CC,1,4400.06,1982.36,,237.7791667,,12,,,,,,,,,0.45053022
1363374,4.56114E+15,CC,1,0,0,,,,,,,,,,,,,
1362687,4.56114E+15,CC,1,0,481.97,-99.98375,388.2157143,32,7,,,,,,,,,
1363204,4.56114E+15,CC,1,0,1200,-151.4128,652.4925,25,4,,,,,,,,,
1362777,4.56114E+15,CC,1,0,1868.87,-130.20208,1800.79875,125,8,,,,,,,,,
1362877,13628773,SV,1,311.74,629.45,,,,,,,,,-200.5671429,71.73666667,7,24,2.019150574
1362632,13626322,CK,1,6813.85,39.58,,,,,-209.9066667,429.99,63,15,,,,,0.005808757
1363093,13630933,SV,0,273.8,86.31,,,,,,,,,-71.842,35.39533333,10,15,0.315230095
1362962,13629622,CK,1,306.17,309.49,,,,,-42.73,179.6873333,63,15,,,,,1.010843649
1362959,4.56114E+15,CC,0,3094.22,20,-226.3725,682.0458333,20,12,,,,,,,,,0.006463665
1362836,13628363,SV,0,237.76,1009.19,,,,,,,,,-105.6829412,122.287619,17,21,4.244574361
1362881,13628812,CK,0,351.11,0,,,,,-50.6683871,174.395625,62,16,,,,,0
1362503,13625032,CK,1,2176.17,535.61,,,,,-68.51966667,123.5625,60,20,,,,,0.246125073
1362895,4.56114E+15,CC,1,0,1300,-124.0278947,534.58,19,2,,,,,,,,,
1362999,13629992,CK,1,4089.6,3.96,,,,,-138.0374194,263.0988235,62,17,,,,,0.00096831
1362816,13628162,CK,1,4173.06,19.72,,,,,-124.2303774,90.03222222,53,27,,,,,0.004725549
1363361,13633613,SV,0,195.18,172.8,,,,,,,,,-166.8,90.18,5,9,0.885336612
1362721,13627213,SV,1,167.33,48.22,,,,,,,,,-69.08666667,18.463125,6,16,0.288173071
1363327,13633273,SV,1,278.05,401.43,,,,,,,,,-162.8871429,54.93869565,7,23,1.443733142
1362542,13625422,CK,1,2865.66,0,,,,,-118.9805882,393.2266667,34,3,,,,,0
1362970,13629702,CK,1,411.71,555.82,,,,,-59.768,91.01722222,25,18,,,,,1.350027932
1362640,13626403,SV,1,573.39,1698.93,,,,,,,,,-87.11222222,83.03173913,9,23,2.96295715
1363237,13632373,SV,1,745.49,756.74,,,,,,,,,,0.9375,,12,1.015090746
1363471,4.56114E+15,CC,1,0,3229.66,-174.9556818,895.708,44,5,,,,,,,,,
1363243,13632433,SV,0,310.62,760.1,,,,,,,,,-129.605,80.77083333,4,12,2.447041401
1362839,13628393,SV,1,4386.32,3420.03,,,,,,,,,-349.2747059,184.1918519,17,27,0.779703715
1363265,4.56114E+15,CC,1,0,133.12,-151.062619,887.3585714,42,7,,,,,,,,,
1363036,4.56114E+15,CC,1,0,1200,-126.5542105,456.06125,38,8,,,,,,,,,
1362950,13629502,CK,1,163.97,163.22,,,,,-0.75,,1,,,,,,0.995425993
1363167,13631673,SV,1,1256.54,1296.4,,,,,,,,,-324.9857143,121.8531579,7,19,1.03172203
1363090,13630903,SV,1,156.33,158.73,,,,,,,,,,0.2,,12,1.01535214
1363267,4.56114E+15,CC,1,0,1271.39,-183.6363636,279.337,22,10,,,,,,,,,
1362793,13627933,SV,1,966.32,404.56,,,,,,,,,-272.4975,29.35611111,4,18,0.418660485
1362584,4.56114E+15,CC,1,0,1000,-104.8803571,647.09,28,3,,,,,,,,,
1363366,13633663,SV,1,465.29,7471.81,,,,,,,,,-359.2953846,530.7890909,13,22,16.05839369
1362528,13625282,CK,1,2533.32,1087.54,,,,,-96.56839286,146.7692593,56,27,,,,,0.429294365
1362991,13629912,CK,1,177.38,77.44,,,,,-47.0021875,207.7285714,64,14,,,,,0.436576841
1362617,4.56114E+15,CC,1,0,306.84,-70.16333333,81.315,9,4,,,,,,,,,
1362782,13627823,SV,1,150.85,268.13,,,,,,,,,-40,18.48533333,4,15,1.777461054
1362590,13625902,CK,1,2782.79,1053.25,,,,,-51.021875,44.969375,48,16,,,,,0.378487058
1362593,4.56114E+15,CC,1,0,689.96,-115.5087097,1086.95,62,6,,,,,,,,,
1363348,13633482,CK,0,4663.36,1244.93,,,,,-159.0476364,313.4817647,55,17,,,,,0.266959874
1362736,4.56114E+15,CC,1,862.8,328.79,-122.9419048,312.794,21,10,,,,,,,,,0.38107325
1363458,13634582,CK,1,285.41,2.5,,,,,-59.25676923,356.833,65,10,,,,,0.008759329
1363178,13631782,CK,1,383.35,48.73,,,,,-63.55242857,293.9057143,70,14,,,,,0.127116212
1363288,13632883,SV,1,1049.82,244.85,,,,,,,,,-219.005,107.3041176,12,17,0.233230459
1362929,13629292,CK,1,1017.61,20.65,,,,,-171.4685714,576.7976471,63,17,,,,,0.020292646
1362556,13625563,SV,1,519.43,439.42,,,,,,,,,-319.1266667,58.54533333,3,15,0.84596577
1363158,13631582,CK,1,2659.16,1080.81,,,,,-86.71961538,39.80176471,26,17,,,,,0.406447901
1362849,13628492,CK,1,173.86,3.98,,,,,-60.46,217.6211765,64,17,,,,,0.022891982
1362622,13626223,SV,1,9223.34,13404.16,,,,,,,,,-115.3166667,174.1065385,3,26,1.453286987
1362624,13626243,SV,1,364.47,1028.01,,,,,,,,,-87.04,90.43125,9,16,2.820561363
1362598,4.56114E+15,CC,0,1801.88,20,-20,157.4408333,1,12,,,,,,,,,0.011099518
1362825,4.56114E+15,CC,1,968.22,1000,-63.57294118,100.1791667,17,12,,,,,,,,,1.032823119
1362487,13624873,SV,0,651.73,12.89,,,,,,,,,-109.0257143,15.5425,7,8,0.019778129
1362875,13628753,SV,1,128.91,449.66,,,,,,,,,-96.05666667,40.59466667,3,15,3.488170041
1362964,4.56114E+15,CC,1,0,1000,-82.02,89.83375,20,8,,,,,,,,,
1363335,13633352,CK,1,167.53,65.64,,,,,-49.08666667,224.1307143,66,14,,,,,0.391810422
1362921,13629212,CK,1,266.04,0,,,,,-43.94780488,85.32333333,41,18,,,,,0
1363462,13634622,CK,1,2504.19,2421.03,,,,,-10,3.4525,12,12,,,,,0.966791657
1362811,4.56114E+15,CC,1,109.23,1000,-105.0629412,373.9233333,51,12,,,,,,,,,9.154994049
1362855,13628553,SV,1,167.71,161.04,,,,,,,,,-76.4125,30.2315,8,20,0.960228967
1362973,4.56114E+15,CC,1,0,734.81,-102.0475,296.458,36,10,,,,,,,,,
1362709,13627093,SV,1,134.28,917.33,,,,,,,,,-89.8725,60.0812,8,25,6.831471552
1363392,13633922,CK,1,2723.71,87.69,,,,,-119.9313559,201.815,59,22,,,,,0.032195057
1363313,4.56114E+15,CC,1,875.86,11.12,-112.2090909,177.54,11,12,,,,,,,,,0.012696093
1362573,13625733,SV,1,10712.86,10399.11,,,,,,,,,-288.1976923,143.0341667,13,24,0.97071277
1363164,13631642,CK,1,315.15,312.13,,,,,-46.3725,222.3866667,72,15,,,,,0.990417262
1362730,13627302,CK,0,224.6,19.1,,,,,-43.49722222,172.13,72,17,,,,,0.085040071
1362509,4.56114E+15,CC,0,877.49,10,-105.606,1471.665,75,6,,,,,,,,,0.011396141
1363307,13633073,SV,0,304.25,265.35,,,,,,,,,-96.78818182,60.33941176,11,17,0.872144618
1363173,13631732,CK,1,139.57,138.38,,,,,-45.57972973,240.8364286,74,14,,,,,0.991473812
1362881,4.56114E+15,CC,1,490.96,440.26,-115.5763158,553.7883333,57,12,,,,,,,,,0.896732931
1363352,4.56114E+15,CC,1,700.99,906.54,-118.9074468,451.2808333,47,12,,,,,,,,,1.293228149
1363199,13631992,CK,0,2548.35,1248.05,,,,,-100.6652381,54.25066667,21,15,,,,,0.489748268
1362520,13625202,CK,1,579.16,333.11,,,,,-111.1242647,609.2,68,12,,,,,0.575160577
1362985,13629853,SV,1,790.76,1967.7,,,,,,,,,-84.677,92.01136364,10,22,2.488365623
1363215,13632152,CK,1,7673.23,4645.09,,,,,-396.9944444,42.08153846,9,13,,,,,0.605363061
1362761,13627612,CK,1,2548.88,8.21,,,,,-77.99860465,50.863125,43,16,,,,,0.003221023
1363165,13631653,SV,1,273.67,57.08,,,,,,,,,-80.058,12.24666667,5,15,0.208572368
1362926,13629262,CK,1,4216.03,3.39,,,,,-114.3386441,105.5858333,59,24,,,,,0.000804074
1363210,13632103,SV,1,112.25,52.26,,,,,,,,,-59.1875,12.62571429,4,14,0.465567929
1362816,4.56114E+15,CC,1,1182.52,3000,-127.2859341,822.8108333,91,12,,,,,,,,,2.536954978
1363383,4.56114E+15,CC,1,1069.93,0,,156.4328571,,7,,,,,,,,,0
1363008,13630083,SV,1,9066.08,9341.84,,,,,,,,,,23.0325,,12,1.030416674
1363470,13634702,CK,1,4068.99,1790.37,,,,,-103.4457407,183.7572222,54,18,,,,,0.440003539
1362742,13627423,SV,1,123.32,844.14,,,,,,,,,-55,62.76333333,4,15,6.845118391
1363395,13633953,SV,1,134.14,136.18,,,,,,,,,,0.17,,12,1.015207992
1363170,13631702,CK,1,2737.15,329.36,,,,,-96.84428571,137.0677273,56,22,,,,,0.12032954
1362512,4.56114E+15,CC,1,565.56,1880.46,-175.8391667,75.87,12,12,,,,,,,,,3.32495226
1362727,13627272,CK,1,946.93,392.05,,,,,-141.6850746,638.43,67,14,,,,,0.414022156
1363095,13630952,CK,1,1242.77,187.99,,,,,-73.4852,187.1057143,50,14,,,,,0.151266928
1362542,4.56114E+15,CC,0,2169.53,20,-20,189.4908333,1,12,,,,,,,,,0.009218587
1362701,13627013,SV,1,204.92,1805.16,,,,,,,,,-189.1985714,162.4794444,7,18,8.809096233
1362484,13624842,CK,1,2613.46,95.32,,,,,-71.08166667,162.48375,72,16,,,,,0.036472722
1363159,4.56114E+15,CC,0,959.72,10,-10,242.96,1,4,,,,,,,,,0.010419706
1363191,13631912,CK,0,294.95,343.52,,,,,-35.02019608,229.325,51,8,,,,,1.164671978
1363450,13634502,CK,1,223.78,210.73,,,,,-82.16107692,221.9758333,65,24,,,,,0.941683797
1362528,4.56114E+15,CC,1,575.35,540.09,-119.437027,371.7575,37,12,,,,,,,,,0.938715564
1362744,13627443,SV,1,127.54,1797.22,,,,,,,,,-104.640625,111.4643333,16,30,14.0914223
1362557,13625572,CK,1,2145.27,147.06,,,,,-84.83210526,149.3510526,57,19,,,,,0.068550812
1362501,4.56114E+15,CC,1,3232.19,47.2,,278.6466667,,12,,,,,,,,,0.014603102
1363348,4.56114E+15,CC,1,232.29,1800,-204.7426087,659.8333333,46,12,,,,,,,,,7.748934522
1363066,13630662,CK,0,319.01,19.83,,,,,-32.90270833,160.01875,48,8,,,,,0.062161061
1363287,4.56114E+15,CC,1,719.04,991.56,-75.00176471,95.41166667,17,12,,,,,,,,,1.37900534
1363280,13632803,SV,1,123.96,1706.87,,,,,,,,,-87.70777778,94.9092,9,25,13.76952243
1363458,4.56114E+15,CC,1,23.73,596.63,-139.6188462,259.9641667,26,12,,,,,,,,,25.14243574
1362685,4.56114E+15,CC,1,0,1208.1,-223.6951613,826.34,31,7,,,,,,,,,
1363196,13631962,CK,1,456.54,521.66,,,,,-56.28652174,263.2593333,69,15,,,,,1.142638104
1362775,4.56114E+15,CC,1,466.06,629.25,-131.0210526,197.5208333,19,12,,,,,,,,,1.35014805
1362837,13628372,CK,1,2798.78,530.92,,,,,-86.22172414,130.1728571,58,21,,,,,0.189696939
1362508,13625082,CK,1,2646.2,75.11,,,,,-99.05779661,204.5825,59,16,,,,,0.028384098
