cust_id,income,age,years_with_bank,nbr_children,gender,marital_status,state_code,cc_acct_nbr,cc_acct_active,cc_starting_balance,cc_ending_balance,cc_av_wd,cc_av_pm,cc_n_wd,cc_n_pm,cc_end_start_ratio,cq_av_wd,cq_av_dp,cq_n_wd,cq_n_dp,cq_end_start_ratio,cq_acct_nbr,cq_acct_active,cq_starting_balance,cq_ending_balance,sv_av_wd,sv_av_dp,sv_n_wd,sv_n_dp,sv_end_start_ratio,sv_acct_nbr,sv_acct_active,sv_starting_balance,sv_ending_balance
1362893,0,15,7,0,M ,1,OR  ,,,,,,,,,,,,,,,,,,,-128.2625,66.60611111111112,4.0,18.0,3.360395085521561,13628933.0,1.0,290.57,976.43
1363097,21663,54,4,1,F ,2,HI  ,4561143213630970.0,1.0,872.15,1100.0,-111.81365853658536,368.02,41.0,12.0,1.2612509316058018,-46.20449275362319,230.3192307692308,69.0,13.0,0.1208981001727115,13630972.0,1.0,220.02,26.6,-87.96000000000001,13.744615384615384,4.0,13.0,0.0560401221107719,13630973.0,1.0,183.44,10.28
1363158,13148,48,8,0,M ,1,OH  ,4561143213631580.0,1.0,364.24,121.67,,23.534166666666668,,12.0,0.3340379969251043,-86.71961538461538,39.80176470588236,26.0,17.0,0.406447900840867,13631582.0,1.0,2659.16,1080.81,-145.04999999999998,92.87588235294118,3.0,17.0,2.4777384428538203,13631583.0,1.0,773.98,1917.72
1362485,22690,25,4,0,F ,1,NY  ,4561143213624850.0,1.0,282.38,1100.0,-117.45947368421054,494.4966666666666,57.0,12.0,3.895460018414902,-77.37805970149253,313.7525,67.0,16.0,0.216846219849366,13624852.0,1.0,209.78,45.49,,,,,,,,,
1362546,10025,35,5,0,F ,2,NY  ,4561143213625460.0,1.0,2340.61,1292.63,-117.56382352941176,759.9741666666667,68.0,12.0,0.5522620171664652,-95.91548387096776,168.721,62.0,20.0,0.0319249427021982,13625462.0,1.0,2657.17,84.83,-45.08,52.542,4.0,20.0,8.224831936260271,13625463.0,1.0,120.49,991.01
1362954,43317,30,0,3,F ,2,CA  ,4561143213629540.0,1.0,0.0,1226.12,-269.1551612903225,889.7112500000001,31.0,8.0,,-198.2855555555556,203.88592592592596,54.0,27.0,0.0548281431392604,13629542.0,1.0,5504.29,301.79,,,,,,,,,
1363015,24545,52,2,1,F ,2,CA  ,,,,,,,,,,-55.01734375,265.4323076923077,64.0,13.0,0.7469122504667529,13630152.0,1.0,278.52,208.03,,0.48,,12.0,1.0151495226322296,13630153.0,1.0,380.21,385.97
1363219,18036,36,6,2,F ,2,NY  ,4561143213632190.0,1.0,227.47,1000.0,-111.75372549019608,414.2383333333333,51.0,12.0,4.396184112190618,-113.63857142857144,136.2357142857143,63.0,21.0,0.0031214489459891,13632192.0,1.0,4312.1,13.46,,,,,,,,,
1363484,10244,52,2,0,F ,1,MN  ,4561143213634840.0,1.0,867.01,408.08,-123.0473076923077,333.67,26.0,11.0,0.4706750787188152,-93.33833333333334,167.0225,54.0,16.0,0.0896050319688424,13634842.0,1.0,2600.97,233.06,,,,,,,,,
1362811,8011,82,2,0,F ,2,PA  ,4561143213628110.0,1.0,109.23,1000.0,-105.0629411764706,373.92333333333335,51.0,12.0,9.154994049253869,-89.76557142857143,233.08411764705883,70.0,17.0,0.1071431318998346,13628112.0,1.0,2599.7,278.54,,,,,,,,,
1362607,24450,44,4,1,M ,2,WA  ,4561143213626070.0,1.0,1957.45,903.36,-140.4362,736.2336363636364,50.0,11.0,0.461498377991775,-62.421875,258.0013333333333,64.0,15.0,0.5693463354122876,13626072.0,1.0,290.21,165.23,,,,,,,,,
1363280,7571,23,2,1,F ,4,TN  ,4561143213632800.0,1.0,328.17,1000.0,-105.755,437.9225,56.0,12.0,3.0472011457476307,-67.68573770491803,196.35047619047617,61.0,21.0,0.9794992743105948,13632802.0,1.0,275.6,269.95,-87.70777777777778,94.9092,9.0,25.0,13.769522426589225,13632803.0,1.0,123.96,1706.87
1362872,17099,47,7,2,F ,3,CA  ,4561143213628720.0,1.0,292.41,1000.0,-115.9122641509434,458.4433333333333,53.0,12.0,3.4198556820902155,,,,,,,,,,,,,,,,,,
1363076,47083,43,3,1,F ,2,NY  ,4561143213630760.0,1.0,6842.2,770.56,-306.4246153846154,1182.8441666666668,26.0,12.0,0.112618748355792,-129.51573770491802,293.7075,61.0,24.0,0.073249308866105,13630762.0,1.0,918.78,67.3,,,,,,,,,
1362729,0,13,5,0,M ,1,NY  ,,,,,,,,,,,,,,,,,,,,0.15,,12.0,1.0149489245079313,13627293.0,1.0,120.41,122.21
1362668,0,13,5,0,M ,1,CA  ,,,,,,,,,,,,,,,,,,,-59.73615384615385,78.205,13.0,26.0,6.875181150951335,13626683.0,1.0,213.91,1470.67
1362933,19823,55,5,1,M ,2,OR  ,4561143213629330.0,1.0,767.27,899.08,-125.96241379310344,300.7708333333333,29.0,12.0,1.171790894991333,-44.265,187.91470588235296,70.0,17.0,1.8058423570888944,13629332.0,1.0,119.13,215.13,-133.1275,20.072857142857146,4.0,14.0,0.0639446160717608,13629333.0,1.0,268.67,17.18
1362586,24476,46,6,0,F ,1,VA  ,4561143213625860.0,1.0,1374.28,3700.0,-117.02410256410256,215.25833333333333,39.0,12.0,2.6923188869808192,-41.25865671641791,190.53266666666664,67.0,15.0,1.554005722460658,13625862.0,1.0,167.76,260.7,,,,,,,,,
1363402,24368,63,3,0,F ,1,NY  ,4561143213634020.0,1.0,1119.41,1200.0,-67.123,120.45666666666666,20.0,12.0,1.0719932821754317,-138.32203389830508,232.19904761904763,59.0,21.0,0.0029200713930136,13634022.0,1.0,3294.44,9.62,,,,,,,,,
1362525,6300,77,7,0,F ,1,IL  ,4561143213625250.0,1.0,2901.68,1051.01,-118.49454545454546,923.1116666666668,77.0,12.0,0.3622074108792148,-39.570882352941176,210.82416666666663,68.0,12.0,0.3724947360212119,13625252.0,1.0,256.46,95.53,-97.92357142857142,66.66285714285715,14.0,21.0,1.1012120147549622,13625253.0,1.0,284.65,313.46
1362851,51608,39,4,0,M ,1,TX  ,,,,,,,,,,-262.178,442.4008333333333,65.0,24.0,0.090081757300366,13628512.0,1.0,7059.92,635.97,,,,,,,,,
1363259,7335,28,7,1,M ,2,CA  ,4561143213632590.0,1.0,380.61,334.29,-113.63025,383.0741666666666,40.0,12.0,0.8783006226846378,,,,,,,,,,,,,,,,,,
1362912,29064,35,5,3,M ,2,NY  ,4561143213629120.0,1.0,1299.01,1500.0,-87.8175,148.33583333333334,20.0,12.0,1.1547255217434815,-61.88057971014493,316.0515384615385,69.0,13.0,0.0729256388171116,13629122.0,1.0,174.15,12.7,,,,,,,,,
1362708,15246,29,4,0,M ,1,NY  ,4561143213627080.0,1.0,275.64,1000.0,-80.39666666666666,91.1375,21.0,12.0,3.627920475983167,-36.44597014925373,155.515625,67.0,16.0,1.1659390208989409,13627082.0,1.0,279.44,325.81,-112.05111111111113,46.19722222222222,18.0,18.0,0.7631784455296243,13627083.0,1.0,5006.85,3821.12
1362973,17242,60,0,0,F ,1,PA  ,4561143213629730.0,1.0,0.0,734.81,-102.0475,296.458,36.0,10.0,,-99.80983050847458,199.178,59.0,20.0,0.3204137685036561,13629732.0,1.0,2803.5,898.28,-71.1,38.345882352941175,5.0,17.0,1.1303387981987054,13629733.0,1.0,2273.92,2570.3
1363442,144157,58,5,0,M ,2,TX  ,,,,,,,,,,-226.6582894736842,1271.51,76.0,13.0,0.1151544413808876,13634422.0,1.0,787.03,90.63,,,,,,,,,
1362769,27885,34,3,0,F ,1,CA  ,4561143213627690.0,1.0,0.0,553.09,-138.42382352941175,593.3314285714285,34.0,7.0,,,,,,,,,,,,,,,,,,,
1362565,27492,49,9,0,F ,1,CA  ,4561143213625650.0,1.0,829.07,1358.19,-138.102,420.9066666666667,40.0,12.0,1.6382090776412124,-210.69134615384613,237.9973913043478,52.0,23.0,0.0471190264709921,13625652.0,1.0,5753.09,271.08,-119.272,81.18933333333332,5.0,15.0,2.944069069069069,13625653.0,1.0,319.68,941.16
1363238,5788,35,5,2,F ,2,TX  ,,,,,,,,,,,,,,,,,,,,0.24,,12.0,1.0151970872249485,13632383.0,1.0,189.51,192.39
1362891,0,15,7,0,F ,1,OR  ,,,,,,,,,,,,,,,,,,,-117.745,96.48,4.0,15.0,2.2713973059586774,13628913.0,1.0,767.62,1743.57
1362830,10933,18,3,0,F ,1,PA  ,4561143213628300.0,1.0,640.41,88.21,-119.99136363636364,271.95166666666665,22.0,12.0,0.1377398853859246,-51.922,210.50611111111112,65.0,18.0,4.630928377312177,13628302.0,1.0,114.07,528.25,-89.535,11.138571428571428,4.0,14.0,0.1499915923995291,13628303.0,1.0,237.88,35.68
1363217,15724,41,1,0,F ,1,CA  ,4561143213632170.0,1.0,571.04,944.16,-137.15671875,708.7366666666667,64.0,12.0,1.6534043149341553,-97.1277049180328,241.18785714285715,61.0,14.0,0.0415731055519823,13632172.0,0.0,2658.69,110.53,,,,,,,,,
1363013,4435,65,5,0,F ,2,NY  ,4561143213630130.0,1.0,844.1,1000.0,-98.46884057971016,559.8183333333333,69.0,12.0,1.1846937566639024,-37.288939393939394,137.124375,66.0,16.0,0.0516298558341026,13630132.0,1.0,281.62,14.54,,,,,,,,,
1363095,12396,60,0,0,F ,2,NY  ,,,,,,,,,,-73.48519999999999,187.1057142857143,50.0,14.0,0.1512669279110374,13630952.0,1.0,1242.77,187.99,-141.30363636363634,25.37333333333333,11.0,15.0,0.4250002447932476,13630953.0,1.0,2042.54,868.08
1363482,9129,66,6,0,M ,2,CO  ,4561143213634820.0,0.0,2917.91,355.26,-107.22878048780488,887.1825,41.0,8.0,0.1217515276345055,,,,,,,,,,-96.991,66.723,10.0,20.0,3.9917931883463273,13634823.0,1.0,121.85,486.4
1362687,7431,37,7,1,F ,2,OR  ,4561143213626870.0,1.0,0.0,481.97,-99.98375,388.2157142857142,32.0,7.0,,-62.17833333333334,218.8678947368421,66.0,19.0,1.3918086782185308,13626872.0,1.0,139.66,194.38,-111.159,87.17052631578947,10.0,19.0,1.960971822785257,13626873.0,1.0,566.77,1111.42
1362605,16957,34,4,0,F ,2,TN  ,4561143213626050.0,1.0,705.21,1000.0,-168.58263157894737,245.8675,19.0,12.0,1.41801732817175,-46.2756862745098,100.56142857142856,51.0,21.0,0.0306118464722189,13626052.0,1.0,256.11,7.84,,1.505,,12.0,1.0304101838755304,13626053.0,1.0,593.88,611.94
1362952,7633,53,3,0,F ,2,WA  ,4561143213629520.0,1.0,3038.8,782.77,-138.4532142857143,519.865,28.0,12.0,0.2575918125575885,-63.56708333333333,272.7888888888889,48.0,9.0,0.4426545247155399,13629522.0,1.0,1069.57,473.45,,0.29,,3.0,1.003751778860667,13629523.0,0.0,231.89,232.76
1363339,0,14,6,0,F ,1,CA  ,,,,,,,,,,,,,,,,,,,-80.78999999999999,59.690000000000005,15.0,26.0,2.864630736334229,13633393.0,1.0,182.39,522.48
1363421,1982,28,7,0,M ,1,CA  ,4561143213634210.0,1.0,2828.16,814.67,-134.35333333333332,648.8258333333333,42.0,12.0,0.2880565455985517,-103.8338596491228,210.6275,57.0,20.0,0.3499971426938683,13634212.0,1.0,2624.85,918.69,-81.53916666666667,57.90235294117648,12.0,17.0,1.0306095843979766,13634213.0,1.0,191.77,197.64
1362727,81509,41,1,1,F ,2,NY  ,4561143213627270.0,0.0,3673.82,0.0,-409.4116666666666,1619.6614285714284,18.0,7.0,0.0,-141.68507462686566,638.4300000000001,67.0,14.0,0.4140221558087715,13627272.0,1.0,946.93,392.05,,11.323333333333332,,12.0,1.0151034163865622,13627273.0,1.0,8996.64,9132.52
1362809,25180,56,6,1,F ,3,IN  ,4561143213628090.0,1.0,2481.47,0.0,,422.7866666666666,,6.0,0.0,-105.64576923076925,119.11896551724138,52.0,29.0,0.3626264741644188,13628092.0,1.0,3199.27,1160.14,,0.34,,12.0,1.0150692520775624,13628093.0,1.0,270.75,274.83
1363196,35502,42,2,0,F ,1,CA  ,4561143213631960.0,1.0,1420.35,1800.0,-198.4791891891892,1199.6291666666666,74.0,12.0,1.2672932727848771,-56.28652173913044,263.2593333333333,69.0,15.0,1.1426381039996494,13631962.0,1.0,456.54,521.66,,,,,,,,,
1362666,0,15,7,0,F ,1,CA  ,,,,,,,,,,,,,,,,,,,-131.322,24.02,5.0,16.0,0.5229971101284775,13626663.0,1.0,574.42,300.42
1363461,23108,69,9,0,F ,2,MN  ,4561143213634610.0,1.0,1575.67,1610.7,-157.3859649122807,752.085,57.0,12.0,1.02223181249881,-110.13772727272728,281.5047368421053,66.0,19.0,0.3892394194196741,13634612.0,1.0,3144.44,1223.94,,,,,,,,,
1363135,18350,38,5,2,F ,2,CA  ,4561143213631350.0,1.0,3139.52,247.32,-124.64117647058823,423.5091666666667,17.0,12.0,0.078776373458363,,,,,,,,,,,1.34,,5.0,1.012554574924579,13631353.0,0.0,533.67,540.37
1362584,12885,61,1,0,F ,2,IL  ,4561143213625840.0,1.0,0.0,1000.0,-104.88035714285716,647.09,28.0,3.0,,-37.617,210.59416666666667,70.0,12.0,0.1050331904881942,13625842.0,1.0,119.01,12.5,-157.53857142857143,59.42444444444445,7.0,18.0,0.98369987699877,13625843.0,1.0,2032.5,1999.37
1362931,39704,53,3,1,F ,2,CA  ,,,,,,,,,,-202.70290322580644,427.1783333333333,62.0,18.0,0.1276053169478158,13629312.0,1.0,5591.93,713.56,,,,,,,,,
1363053,55061,30,0,0,M ,1,MD  ,4561143213630530.0,1.0,0.0,918.09,-436.4236363636364,647.0949999999999,11.0,6.0,,,,,,,,,,,,,,,,,,,
1363400,49258,49,9,0,F ,2,NY  ,4561143213634000.0,1.0,3293.54,2186.72,-162.0408163265306,769.1991666666667,49.0,12.0,0.663942141282632,-147.29414285714287,910.3469230769232,70.0,13.0,6.0650447036926245,13634002.0,1.0,300.87,1824.79,-156.96208333333334,139.14833333333334,24.0,24.0,0.2438183168842194,13634003.0,1.0,565.38,137.85
1363318,7751,41,1,2,F ,4,TX  ,,,,,,,,,,-65.29544117647059,260.4264705882353,68.0,17.0,0.8745236001172676,13633182.0,1.0,102.33,89.49,,,,,,,,,
1362523,0,13,5,0,F ,1,CA  ,,,,,,,,,,,,,,,,,,,-78.2,24.268823529411765,7.0,17.0,0.485793829373403,13625233.0,1.0,262.21,127.38
1362992,24534,40,0,0,F ,1,AZ  ,,,,,,,,,,-39.31095238095239,157.87214285714285,63.0,14.0,0.0214891819417404,13629922.0,1.0,272.23,5.85,,,,,,,,,
1363175,0,16,1,0,F ,1,CA  ,4561143213631750.0,1.0,2179.2,1148.45,-118.78824324324324,820.2241666666667,74.0,12.0,0.5270053230543319,-69.09037037037037,162.0909523809524,54.0,21.0,0.0396792763157894,13631752.0,1.0,340.48,13.51,,,,,,,,,
1363257,31910,44,4,0,M ,1,NY  ,4561143213632570.0,1.0,0.0,2275.24,-133.33333333333334,105.032,24.0,10.0,,,,,,,,,,,-83.23041666666667,122.26458333333332,24.0,24.0,4.427619779656675,13632573.0,1.0,273.21,1209.67
1362767,0,17,2,0,F ,1,IL  ,4561143213627670.0,1.0,0.0,290.54,-122.96,506.4125,35.0,8.0,,-57.193000000000005,220.06833333333333,70.0,18.0,0.8203908241291419,13627672.0,1.0,235.4,193.12,-128.92666666666665,54.929545454545455,3.0,22.0,3.9683537444456487,13627673.0,1.0,276.81,1098.48
1362849,22001,44,4,0,F ,1,TN  ,4561143213628490.0,1.0,1057.28,515.69,-142.4203448275862,734.7383333333333,58.0,12.0,0.4877515889830509,-60.46,217.62117647058824,64.0,17.0,0.0228919820545266,13628492.0,1.0,173.86,3.98,,,,,,,,,
1362563,14711,73,3,0,M ,2,IL  ,4561143213625630.0,1.0,0.0,1000.0,-111.52363636363636,368.475,22.0,4.0,,-63.12295774647887,246.64375,71.0,16.0,0.4781333151395238,13625632.0,0.0,1025.99,490.56,,,,,,,,,
1362645,57194,31,1,3,M ,4,CA  ,4561143213626450.0,0.0,2071.7,20.0,-228.6176,892.8522222222223,25.0,9.0,0.0096539074190278,-97.40814285714283,533.385,70.0,14.0,2.186750073163594,13626452.0,1.0,546.72,1195.54,,,,,,,,,
1362624,28867,77,7,0,F ,2,TX  ,4561143213626240.0,1.0,632.75,1400.0,-157.80135135135134,428.3591666666666,37.0,12.0,2.2125642038719877,,,,,,,,,,-87.04,90.43125,9.0,16.0,2.82056136307515,13626243.0,1.0,364.47,1028.01
1362502,15530,57,7,2,M ,2,CA  ,,,,,,,,,,,,,,,,,,,-95.21666666666664,44.44705882352941,3.0,17.0,3.0491674314933785,13625023.0,1.0,228.81,697.68
1362971,31040,60,0,0,F ,2,WA  ,4561143213629710.0,1.0,0.0,1600.0,-139.1585,147.93333333333334,20.0,9.0,,-119.42950819672132,195.4628571428572,61.0,21.0,0.0550821776177403,13629712.0,1.0,3365.88,185.4,,,,,,,,,
1362746,8810,35,5,2,F ,2,LA  ,4561143213627460.0,1.0,1037.11,1000.0,-107.39822222222224,410.3258333333333,45.0,12.0,0.9642178746709608,-48.71138461538462,252.485,65.0,12.0,0.086330453419061,13627462.0,1.0,149.31,12.89,-111.72125,68.59217391304348,8.0,23.0,1.3021780148205755,13627463.0,1.0,2263.07,2946.92
1363236,23206,64,4,0,M ,3,CA  ,4561143213632360.0,1.0,5922.77,1555.34,-141.00451612903225,1466.549166666667,93.0,12.0,0.262603477764627,-132.85854545454546,219.1185,55.0,20.0,0.017732104176112,13632362.0,1.0,2977.65,52.8,-91.0342105263158,83.62100000000001,19.0,30.0,3.698046550290939,13632363.0,1.0,288.72,1067.7
1363215,57723,57,7,1,M ,4,NY  ,4561143213632150.0,1.0,9073.46,2089.45,-396.81520000000006,1441.1583333333335,25.0,12.0,0.2302815023155444,-396.99444444444447,42.081538461538464,9.0,13.0,0.6053630609274061,13632152.0,1.0,7673.23,4645.09,-130.0,120.31315789473685,4.0,19.0,2.9112012987012985,13632153.0,1.0,924.0,2689.95
1362828,3994,87,7,0,M ,2,NY  ,4561143213628280.0,1.0,184.35,1000.0,-96.85388888888887,87.60583333333334,18.0,12.0,5.424464334147003,,,,,,,,,,,,,,,,,,
1363011,90248,55,5,0,M ,4,NY  ,4561143213630110.0,0.0,3488.29,20.0,-183.4782608695652,663.0891666666666,23.0,12.0,0.005733468260953,-413.8707462686567,977.3076470588236,67.0,17.0,0.1268769211070604,13630112.0,1.0,12730.29,1615.18,-351.89428571428573,254.90473684210525,14.0,19.0,0.9433479954585936,13630113.0,1.0,1470.91,1387.58
1363297,9351,46,6,0,F ,1,AZ  ,4561143213632970.0,1.0,805.7,67.82,-131.33766666666668,390.78,30.0,12.0,0.0841752513342435,-41.6215625,139.72176470588235,64.0,17.0,0.1197254004576659,13632972.0,1.0,327.75,39.24,,,,,,,,,
1363480,8038,22,1,0,F ,1,MD  ,,,,,,,,,,-60.67602739726028,159.39533333333333,73.0,15.0,0.0162967681534994,13634802.0,1.0,2072.19,33.77,,,,,,,,,
1363093,1039,79,9,0,M ,2,MN  ,4561143213630930.0,1.0,254.38,1000.0,-92.37944444444445,86.64583333333333,18.0,12.0,3.9311266609010143,-56.53898550724638,270.4144444444444,69.0,18.0,9.559394100451769,13630932.0,1.0,112.89,1079.16,-71.842,35.39533333333333,10.0,15.0,0.3152300949598247,13630933.0,0.0,273.8,86.31
