cust_id,acct_nbr,acct_type,account_active,starting_balance,ending_balance,cc_av_wd,cc_av_pm,cc_n_wd,cc_n_pm,cq_av_wd,cq_av_dp,cq_n_wd,cq_n_dp,sv_av_wd,sv_av_dp,sv_n_wd,sv_n_dp,end_start_ratio
1363165,4561143213631650,CC,1,261.21,429.34,-110.0,208.52916666666667,24.0,12.0,,,,,,,,,1.6436583591746106
1362591,13625912,CK,1,3390.49,920.44,,,,,-139.82152542372881,262.7009090909091,59.0,22.0,,,,,0.27147698415273314
1363210,4561143213632100,CC,1,0.0,889.68,-122.79586206896552,271.735,29.0,10.0,,,,,,,,,
1362823,13628233,SV,1,428.17,491.88,,,,,,,,,-342.34999999999997,68.195,3.0,16.0,1.1487960389564893
1363395,4561143213633950,CC,0,3072.77,730.0,-103.6842105263158,876.7540000000001,19.0,5.0,,,,,,,,,0.23757066099968432
1363147,13631472,CK,1,205.58,331.93,,,,,-53.38076923076923,326.91818181818184,65.0,11.0,,,,,1.6146025878003696
1362917,4561143213629170,CC,1,0.0,6800.0,-272.0,,25.0,,,,,,,,,,
1362529,13625292,CK,0,771.72,1007.92,,,,,-79.25611111111111,594.2639999999999,72.0,10.0,,,,,1.3060695589073756
1362701,4561143213627010,CC,1,0.0,0.0,,,,,,,,,,,,,
1362622,4561143213626220,CC,0,2308.5,406.96,-182.79117647058823,1169.1157142857141,34.0,7.0,,,,,,,,,0.17628763266190167
1363078,13630783,SV,1,127.81,596.38,,,,,,,,,-89.435,85.233125,10.0,16.0,4.66614505907206
1362613,13626133,SV,1,236.65,338.98,,,,,,,,,-59.0488888888889,35.20944444444444,9.0,18.0,1.4324107331502218
1363316,13633162,CK,1,116.05,947.22,,,,,-49.88426470588235,281.55333333333334,68.0,15.0,,,,,8.162171477811288
1363374,13633742,CK,1,237.33,0.0,,,,,-16.433809523809526,8.981666666666667,21.0,12.0,,,,,0.0
1362744,4561143213627440,CC,1,328.5,682.28,-130.81716666666665,624.99,60.0,12.0,,,,,,,,,2.0769558599695586
1363134,13631342,CK,1,163.08,0.0,,,,,-13.401333333333334,18.97,15.0,2.0,,,,,0.0
1363185,13631852,CK,0,2713.04,867.84,,,,,-93.71492063492063,253.6775,63.0,16.0,,,,,0.3198773331760682
1363031,13630312,CK,1,629.03,1938.99,,,,,-159.1924193548387,657.6405882352941,62.0,17.0,,,,,3.082507988490215
1363180,13631803,SV,1,766.58,405.61,,,,,,,,,-188.65625,52.19863636363636,8.0,22.0,0.5291163348900311
1362959,13629592,CK,0,924.76,4601.37,,,,,-208.44771428571428,1304.8535714285715,70.0,14.0,,,,,4.975745058177257
1363280,4561143213632800,CC,1,328.17,1000.0,-105.755,437.92249999999996,56.0,12.0,,,,,,,,,3.0472011457476307
1362487,4561143213624870,CC,1,0.0,1548.23,-121.32307692307693,404.7025,26.0,4.0,,,,,,,,,
1362708,13627082,CK,1,279.44,325.81,,,,,-36.44597014925373,155.515625,67.0,16.0,,,,,1.1659390208989409
1363205,13632053,SV,0,119.55,1240.58,,,,,,,,,-185.67000000000002,107.94736842105263,5.0,19.0,10.377080719364283
1363339,13633393,SV,1,182.39,522.48,,,,,,,,,-80.78999999999999,59.690000000000005,15.0,26.0,2.864630736334229
1363471,13634712,CK,1,204.13,153.91,,,,,-63.19114285714286,273.3225,70.0,16.0,,,,,0.7539803066673199
1362830,13628302,CK,1,114.07,528.25,,,,,-51.922,210.50611111111112,65.0,18.0,,,,,4.630928377312177
1363036,13630362,CK,1,3301.91,41.36,,,,,-113.42477611940299,206.6147619047619,67.0,21.0,,,,,0.012526083388099615
1362587,13625873,SV,1,628.68,1596.17,,,,,,,,,-117.42,66.8804,6.0,25.0,2.538922822421582
1363267,13632672,CK,1,1088.96,612.74,,,,,-143.3842857142857,682.9057142857143,70.0,14.0,,,,,0.5626836614751689
1362932,13629322,CK,1,384.55,500.83,,,,,-72.35448275862069,215.642,58.0,20.0,,,,,1.3023794044987647
1363307,4561143213633070,CC,1,2484.57,1199.3,-102.05057142857143,707.835,70.0,12.0,,,,,,,,,0.4826992195832679
1362924,13629243,SV,1,5131.67,5287.76,,,,,,,,,,13.135,,12.0,1.0304169987547913
1362584,13625842,CK,1,119.01,12.5,,,,,-37.617,210.59416666666667,70.0,12.0,,,,,0.10503319048819426
1362979,13629792,CK,1,254.2,292.07,,,,,-51.766379310344824,190.01999999999998,58.0,16.0,,,,,1.1489771833202203
1362617,13626172,CK,1,237.72,53.6,,,,,-78.96071428571429,106.67263157894737,28.0,19.0,,,,,0.22547534915026082
1363222,13632222,CK,1,189.85,839.81,,,,,-46.58544117647059,238.610625,68.0,16.0,,,,,4.423544903871477
1362985,4561143213629850,CC,1,0.0,1000.0,-128.6432,776.0228571428571,50.0,7.0,,,,,,,,,
1362827,13628272,CK,1,2569.45,17.21,,,,,-112.06150000000001,198.6404761904762,60.0,21.0,,,,,0.006697931463931971
1363008,4561143213630080,CC,0,1900.34,10.0,-148.23380952380953,563.5033333333333,21.0,9.0,,,,,,,,,0.005262216234989529
1363331,13633313,SV,1,905.15,743.04,,,,,,,,,-171.6575,63.75421052631579,8.0,19.0,0.8209026128266033
1362742,4561143213627420,CC,1,2540.56,15.74,-99.31857142857143,271.92583333333334,7.0,12.0,,,,,,,,,0.006195484460119029
1362890,13628903,SV,0,104.78,104.78,,,,,,,,,,,,,1.0
1362825,13628252,CK,0,2767.55,306.26,,,,,-148.075,214.91695652173914,50.0,23.0,,,,,0.11066105400083105
1363354,13633542,CK,1,1045.26,48.9,,,,,-64.76314285714285,235.804,70.0,15.0,,,,,0.04678261867860628
1363286,13632863,SV,0,117.92,1289.52,,,,,,,,,-76.36,211.00571428571428,4.0,7.0,10.935549525101763
1363135,13631353,SV,0,533.67,540.37,,,,,,,,,,1.34,,5.0,1.012554574924579
1363422,13634223,SV,0,423.51,14.34,,,,,,,,,-217.3411111111111,220.9857142857143,9.0,7.0,0.03385988524474039
1363492,13634923,SV,1,952.38,1116.1,,,,,,,,,-596.042,184.95823529411766,5.0,17.0,1.1719061719061719
1363404,13634043,SV,1,114.29,550.73,,,,,,,,,-79.29400000000001,61.468999999999994,10.0,20.0,4.8187067984950565
1363070,13630703,SV,1,819.37,844.28,,,,,,,,,,2.6008333333333336,,12.0,1.0304014059582363
1363313,13633132,CK,1,170.09,10.42,,,,,-48.97347826086957,268.2916666666667,69.0,12.0,,,,,0.06126168499029925
1363355,13633553,SV,1,2062.29,2229.96,,,,,,,,,-78.39333333333333,37.531176470588235,6.0,17.0,1.0813028235602171
1362509,13625092,CK,1,182.38,10.7,,,,,-45.288805970149255,204.43142857142857,67.0,14.0,,,,,0.058668713674745035
1362971,13629712,CK,1,3365.88,185.4,,,,,-119.42950819672132,195.46285714285716,61.0,21.0,,,,,0.05508217761774038
1363014,13630143,SV,1,171.98,174.61,,,,,,,,,,0.21916666666666665,,12.0,1.0152924758692872
1363336,13633363,SV,1,241.37,126.05,,,,,,,,,-162.28142857142856,107.83099999999999,14.0,20.0,0.5222272859095993
1362602,4561143213626020,CC,1,4826.62,1661.44,-189.98672727272728,1367.0359999999998,55.0,10.0,,,,,,,,,0.344224322610854
1362700,13627002,CK,1,2729.91,4494.03,,,,,-21.07875,120.796875,8.0,16.0,,,,,1.6462191061243778
1363352,13633522,CK,1,1290.57,851.45,,,,,-68.48092307692308,267.476,65.0,15.0,,,,,0.6597472434660655
1363194,13631943,SV,0,210.5,455.67,,,,,,,,,-91.2875,87.18857142857142,4.0,7.0,2.164703087885986
1362637,13626373,SV,1,347.66,44.79,,,,,,,,,-171.29,3.0546153846153845,2.0,13.0,0.12883276764655122
1363294,4561143213632940,CC,1,0.0,3157.9,-175.4388888888889,,18.0,,,,,,,,,,
1362643,13626433,SV,0,135.78,494.84,,,,,,,,,-56.465,48.74333333333333,4.0,12.0,3.6444248048313446
1363091,13630913,SV,1,2303.88,2338.68,,,,,,,,,,2.9,,12.0,1.0151049533829886
1362512,13625122,CK,1,2806.97,1295.93,,,,,-113.1598076923077,156.1882142857143,52.0,28.0,,,,,0.4616828822538182
1363268,13632683,SV,1,498.64,180.08,,,,,,,,,-151.095,36.750625,6.0,16.0,0.3611423070752447
1362703,4561143213627030,CC,1,1237.86,947.81,-160.74761904761903,595.24,42.0,12.0,,,,,,,,,0.7656843261758196
1363485,4561143213634850,CC,1,4161.24,1000.0,-95.38461538461539,2221.255,13.0,2.0,,,,,,,,,0.24031298362987957
1363159,13631592,CK,1,346.65,35.8,,,,,-44.778604651162794,89.70166666666665,43.0,18.0,,,,,0.10327419587480167
1362526,13625262,CK,1,2885.72,140.01,,,,,-122.16874999999999,504.2033333333333,72.0,12.0,,,,,0.0485182207559985
1362501,13625012,CK,1,356.4,1.8,,,,,-89.92298245614035,477.101,57.0,10.0,,,,,0.005050505050505051
1363145,13631452,CK,1,186.89,168.44,,,,,-46.968709677419355,170.21235294117648,62.0,17.0,,,,,0.9012788271175558
1363311,4561143213633110,CC,1,0.0,2700.0,-385.7142857142857,,7.0,,,,,,,,,,
1363140,13631403,SV,1,106.46,896.45,,,,,,,,,-116.77333333333333,78.45421052631578,6.0,19.0,8.420533533721587
1362685,13626852,CK,1,450.2,516.78,,,,,-89.72,351.82625,62.0,16.0,,,,,1.1478898267436695
1362687,13626872,CK,1,139.66,194.38,,,,,-62.17833333333334,218.8678947368421,66.0,19.0,,,,,1.3918086782185308
1362720,4561143213627200,CC,1,0.0,1000.0,-147.05882352941177,1000.0,34.0,4.0,,,,,,,,,
1363216,13632163,SV,1,136.52,105.54,,,,,,,,,-158.9923076923077,92.54181818181819,13.0,22.0,0.773073542338119
1362945,4561143213629450,CC,1,288.79,505.56,-136.17555555555555,291.4008333333333,27.0,12.0,,,,,,,,,1.750614633470688
1362947,4561143213629470,CC,1,0.0,1000.0,-128.1977777777778,80.735,9.0,2.0,,,,,,,,,
1363171,13631712,CK,1,5022.25,17.68,,,,,-195.86111111111111,349.2704761904762,63.0,21.0,,,,,0.0035203345114241625
1363346,13633462,CK,1,4428.89,1290.34,,,,,-182.0207142857143,261.2885185185185,56.0,27.0,,,,,0.2913461386487359
1363241,13632413,SV,1,273.49,1649.8,,,,,,,,,-131.7045,182.31545454545454,20.0,22.0,6.032396065669677
1363117,4561143213631170,CC,1,1568.22,1112.8,-201.99666666666667,653.5066666666667,36.0,12.0,,,,,,,,,0.7095943171238729
1363316,4561143213633160,CC,1,770.33,1000.0,-83.77199999999999,97.80916666666667,15.0,12.0,,,,,,,,,1.2981449508652136
1363456,13634562,CK,1,113.11,1051.46,,,,,-29.223333333333336,309.39,42.0,7.0,,,,,9.295906639554417
1363185,4561143213631850,CC,1,0.0,1000.0,-97.24666666666667,58.426666666666655,12.0,3.0,,,,,,,,,
1363447,4561143213634470,CC,1,0.0,1000.0,-107.2218181818182,95.405,11.0,2.0,,,,,,,,,
1362708,4561143213627080,CC,1,275.64,1000.0,-80.39666666666666,91.1375,21.0,12.0,,,,,,,,,3.6279204759831667
1362578,4561143213625780,CC,1,136.14,731.2,-121.85264705882352,298.0891666666667,34.0,12.0,,,,,,,,,5.370941677684737
1363333,13633333,SV,1,685.35,1896.2,,,,,,,,,-116.40142857142857,72.38678571428571,7.0,28.0,2.766761508718173
1363029,13630293,SV,1,244.25,304.93,,,,,,,,,-104.59,36.476875,5.0,16.0,1.248433981576254
1362805,13628052,CK,1,259.18,14.76,,,,,-49.96586666666667,233.53466666666665,75.0,15.0,,,,,0.05694883864495717
1362485,4561143213624850,CC,1,282.38,1100.0,-117.45947368421054,494.49666666666667,57.0,12.0,,,,,,,,,3.895460018414902
1362830,4561143213628300,CC,1,640.41,88.21,-119.99136363636363,271.95166666666665,22.0,12.0,,,,,,,,,0.13773988538592463
1363187,4561143213631870,CC,1,1498.51,2300.0,-169.29833333333332,213.5175,18.0,12.0,,,,,,,,,1.5348579589058464
1363222,4561143213632220,CC,1,107.4,1000.0,-117.9843181818182,358.3516666666667,44.0,12.0,,,,,,,,,9.31098696461825
1362904,13629043,SV,1,198.9,201.9,,,,,,,,,,0.25,,12.0,1.0150829562594268
1363213,13632133,SV,1,285.4,289.72,,,,,,,,,,0.36000000000000004,,12.0,1.0151366503153472
1363265,13632652,CK,1,3270.92,805.19,,,,,-159.84396226415095,214.55785714285713,53.0,28.0,,,,,0.24616621623274187
1363272,13632723,SV,1,165.83,711.81,,,,,,,,,-180.53076923076924,115.71520000000001,13.0,25.0,4.29240788759573
1363179,13631792,CK,1,2608.77,36.7,,,,,-92.08792452830188,128.255,53.0,18.0,,,,,0.014067932397260013
1362868,13628682,CK,1,265.43,609.04,,,,,-69.08058823529412,265.32526315789477,68.0,19.0,,,,,2.2945409335794746
1362562,4561143213625620,CC,1,0.0,9500.0,-421.95374999999996,626.89,24.0,1.0,,,,,,,,,
1363337,13633372,CK,1,8494.05,1180.64,,,,,-293.06880597014924,560.1,67.0,22.0,,,,,0.13899612081398158
1363254,13632543,SV,0,2001.91,2019.49,,,,,,,,,,2.511428571428571,,7.0,1.008781613559051
1363453,13634532,CK,1,216.97,0.0,,,,,-34.635000000000005,20.03666666666667,8.0,3.0,,,,,0.0
1362593,13625932,CK,1,4116.15,168.63,,,,,-123.5391935483871,168.7231818181818,62.0,22.0,,,,,0.040967894756022014
1363252,13632523,SV,1,179.27,181.99,,,,,,,,,,0.22666666666666668,,12.0,1.015172644614269
1363318,13633182,CK,1,102.33,89.49,,,,,-65.29544117647059,260.4264705882353,68.0,17.0,,,,,0.8745236001172676
1363354,4561143213633540,CC,1,2718.93,3000.0,-83.68483870967742,224.8083333333333,31.0,12.0,,,,,,,,,1.1033752248127022
1362736,13627362,CK,1,2783.01,2014.49,,,,,-56.974642857142854,48.67058823529412,28.0,17.0,,,,,0.7238529505822832
1363338,13633383,SV,1,293.58,675.18,,,,,,,,,-271.68,59.94449999999999,3.0,20.0,2.2998160637645615
1362791,13627913,SV,1,158.15,492.11,,,,,,,,,-165.40636363636364,82.82423076923078,11.0,26.0,3.1116661397407523
1363459,4561143213634590,CC,1,0.0,3000.0,-130.78192307692308,200.6,26.0,2.0,,,,,,,,,
1363057,4561143213630570,CC,1,1010.39,938.43,-108.6505,374.6983333333333,40.0,12.0,,,,,,,,,0.9287799760488524
1362857,13628573,SV,1,659.39,196.62,,,,,,,,,-196.19833333333335,47.628,6.0,15.0,0.2981846858460092
1362591,4561143213625910,CC,1,853.5,1548.57,-144.4109090909091,1012.7958333333332,88.0,12.0,,,,,,,,,1.8143760984182775
1363283,13632833,SV,1,166.05,2.74,,,,,,,,,-122.648,34.61,5.0,13.0,0.016501053899427885
1362598,13625982,CK,0,6819.83,13.54,,,,,-232.4643137254902,504.939,51.0,10.0,,,,,0.0019853867325138603
1363038,13630382,CK,1,517.85,459.03,,,,,-66.38218181818182,256.5857142857143,55.0,14.0,,,,,0.8864149850342763
1363147,4561143213631470,CC,1,145.67,202.99,-105.82914285714286,304.0625,35.0,12.0,,,,,,,,,1.393492139767969
1363075,4561143213630750,CC,1,43.95,397.19,-111.46761904761905,363.01500000000004,42.0,12.0,,,,,,,,,9.037315130830489
1362964,13629642,CK,1,2173.35,621.41,,,,,-86.57016949152543,136.82,59.0,26.0,,,,,0.28592265396737754
1362645,13626452,CK,1,546.72,1195.54,,,,,-97.40814285714285,533.385,70.0,14.0,,,,,2.186750073163594
1362902,13629023,SV,1,184.9,1554.71,,,,,,,,,-151.38,151.8464705882353,8.0,17.0,8.408382909680908
1362971,4561143213629710,CC,1,0.0,1600.0,-139.1585,147.93333333333334,20.0,9.0,,,,,,,,,
1362796,13627963,SV,1,680.95,1087.47,,,,,,,,,-130.475,54.644705882352945,4.0,17.0,1.5969894999632865
1362571,13625713,SV,1,2053.57,1741.09,,,,,,,,,-132.252,24.925714285714285,5.0,14.0,0.8478357202335444
1362811,13628112,CK,1,2599.7,278.54,,,,,-89.76557142857143,233.08411764705883,70.0,17.0,,,,,0.10714313189983461
1363006,13630063,SV,1,242.01,245.66,,,,,,,,,,0.30416666666666664,,12.0,1.0150820214040743
1362729,13627293,SV,1,120.41,122.21,,,,,,,,,,0.15,,12.0,1.0149489245079313
1362700,4561143213627000,CC,1,369.78,107.4,-143.2641176470588,226.86,17.0,12.0,,,,,,,,,0.29044296608794423
1362973,13629732,CK,1,2803.5,898.28,,,,,-99.80983050847458,199.178,59.0,20.0,,,,,0.32041376850365616
1363217,13632172,CK,0,2658.69,110.53,,,,,-97.12770491803279,241.18785714285715,61.0,14.0,,,,,0.04157310555198237
1363012,13630123,SV,1,474.6,481.77,,,,,,,,,,0.5975,,12.0,1.0151074589127687
1362978,13629782,CK,1,7035.43,278.86,,,,,-249.8934615384615,283.54045454545457,52.0,22.0,,,,,0.03963652541493555
1362529,4561143213625290,CC,0,1481.64,433.43,-149.35761904761907,374.8183333333333,21.0,12.0,,,,,,,,,0.29253394886747114
1363097,13630972,CK,1,220.02,26.6,,,,,-46.20449275362319,230.31923076923078,69.0,13.0,,,,,0.12089810017271158
1363465,13634653,SV,1,573.48,590.92,,,,,,,,,,1.4533333333333331,,12.0,1.0304108251377553
1362526,4561143213625260,CC,1,4400.06,1982.36,,237.77916666666667,,12.0,,,,,,,,,0.4505302200424539
1363374,4561143213633740,CC,1,0.0,0.0,,,,,,,,,,,,,
1362687,4561143213626870,CC,1,0.0,481.97,-99.98375,388.2157142857142,32.0,7.0,,,,,,,,,
1363204,4561143213632040,CC,1,0.0,1200.0,-151.4128,652.4925,25.0,4.0,,,,,,,,,
1362777,4561143213627770,CC,1,0.0,1868.87,-130.20208,1800.79875,125.0,8.0,,,,,,,,,
1362877,13628773,SV,1,311.74,629.45,,,,,,,,,-200.56714285714284,71.73666666666666,7.0,24.0,2.0191505741964457
1362632,13626322,CK,1,6813.85,39.58,,,,,-209.90666666666667,429.99,63.0,15.0,,,,,0.005808757163718015
1363093,13630933,SV,0,273.8,86.31,,,,,,,,,-71.842,35.39533333333333,10.0,15.0,0.3152300949598247
1362962,13629622,CK,1,306.17,309.49,,,,,-42.730000000000004,179.68733333333333,63.0,15.0,,,,,1.010843648953196
1362959,4561143213629590,CC,0,3094.22,20.0,-226.3725,682.0458333333333,20.0,12.0,,,,,,,,,0.006463664509957275
1362836,13628363,SV,0,237.76,1009.19,,,,,,,,,-105.68294117647059,122.28761904761905,17.0,21.0,4.244574360699866
1362881,13628812,CK,0,351.11,0.0,,,,,-50.6683870967742,174.395625,62.0,16.0,,,,,0.0
1362503,13625032,CK,1,2176.17,535.61,,,,,-68.51966666666667,123.5625,60.0,20.0,,,,,0.24612507294926408
1362895,4561143213628950,CC,1,0.0,1300.0,-124.02789473684209,534.5799999999999,19.0,2.0,,,,,,,,,
1362999,13629992,CK,1,4089.6,3.96,,,,,-138.0374193548387,263.0988235294118,62.0,17.0,,,,,0.0009683098591549296
1362816,13628162,CK,1,4173.06,19.72,,,,,-124.23037735849057,90.03222222222222,53.0,27.0,,,,,0.004725549117434208
1363361,13633613,SV,0,195.18,172.8,,,,,,,,,-166.8,90.18,5.0,9.0,0.8853366123578236
1362721,13627213,SV,1,167.33,48.22,,,,,,,,,-69.08666666666666,18.463124999999998,6.0,16.0,0.28817307117671664
1363327,13633273,SV,1,278.05,401.43,,,,,,,,,-162.88714285714286,54.93869565217391,7.0,23.0,1.443733141521309
1362542,13625422,CK,1,2865.66,0.0,,,,,-118.98058823529412,393.2266666666667,34.0,3.0,,,,,0.0
1362970,13629702,CK,1,411.71,555.82,,,,,-59.768,91.01722222222222,25.0,18.0,,,,,1.350027932282432
1362640,13626403,SV,1,573.39,1698.93,,,,,,,,,-87.11222222222221,83.03173913043479,9.0,23.0,2.962957149584053
1363237,13632373,SV,1,745.49,756.74,,,,,,,,,,0.9375,,12.0,1.0150907456840468
1363471,4561143213634710,CC,1,0.0,3229.66,-174.95568181818183,895.708,44.0,5.0,,,,,,,,,
1363243,13632433,SV,0,310.62,760.1,,,,,,,,,-129.60500000000002,80.77083333333333,4.0,12.0,2.44704140106883
1362839,13628393,SV,1,4386.32,3420.03,,,,,,,,,-349.2747058823529,184.19185185185185,17.0,27.0,0.7797037151872186
1363265,4561143213632650,CC,1,0.0,133.12,-151.06261904761905,887.3585714285715,42.0,7.0,,,,,,,,,
1363036,4561143213630360,CC,1,0.0,1200.0,-126.5542105263158,456.06125000000003,38.0,8.0,,,,,,,,,
1362950,13629502,CK,1,163.97,163.22,,,,,-0.75,,1.0,,,,,,0.9954259925596146
1363167,13631673,SV,1,1256.54,1296.4,,,,,,,,,-324.9857142857143,121.85315789473684,7.0,19.0,1.0317220303372754
1363090,13630903,SV,1,156.33,158.73,,,,,,,,,,0.20000000000000004,,12.0,1.0153521397044711
1363267,4561143213632670,CC,1,0.0,1271.39,-183.63636363636363,279.337,22.0,10.0,,,,,,,,,
1362793,13627933,SV,1,966.32,404.56,,,,,,,,,-272.4975,29.356111111111108,4.0,18.0,0.4186604851394983
1362584,4561143213625840,CC,1,0.0,1000.0,-104.88035714285715,647.09,28.0,3.0,,,,,,,,,
1363366,13633663,SV,1,465.29,7471.81,,,,,,,,,-359.29538461538465,530.7890909090909,13.0,22.0,16.0583936899568
1362528,13625282,CK,1,2533.32,1087.54,,,,,-96.56839285714285,146.76925925925926,56.0,27.0,,,,,0.42929436470718263
1362991,13629912,CK,1,177.38,77.44,,,,,-47.0021875,207.72857142857143,64.0,14.0,,,,,0.4365768406810238
1362617,4561143213626170,CC,1,0.0,306.84,-70.16333333333334,81.315,9.0,4.0,,,,,,,,,
1362782,13627823,SV,1,150.85,268.13,,,,,,,,,-40.0,18.485333333333333,4.0,15.0,1.7774610540271794
1362590,13625902,CK,1,2782.79,1053.25,,,,,-51.021875,44.969375,48.0,16.0,,,,,0.37848705795263027
1362593,4561143213625930,CC,1,0.0,689.96,-115.50870967741936,1086.95,62.0,6.0,,,,,,,,,
1363348,13633482,CK,0,4663.36,1244.93,,,,,-159.04763636363634,313.4817647058823,55.0,17.0,,,,,0.2669598744253071
1362736,4561143213627360,CC,1,862.8,328.79,-122.94190476190475,312.794,21.0,10.0,,,,,,,,,0.38107324988409835
1363458,13634582,CK,1,285.41,2.5,,,,,-59.25676923076923,356.83299999999997,65.0,10.0,,,,,0.008759328685049576
1363178,13631782,CK,1,383.35,48.73,,,,,-63.55242857142857,293.9057142857143,70.0,14.0,,,,,0.12711621233859396
1363288,13632883,SV,1,1049.82,244.85,,,,,,,,,-219.005,107.30411764705883,12.0,17.0,0.23323045855479987
1362929,13629292,CK,1,1017.61,20.65,,,,,-171.46857142857144,576.7976470588235,63.0,17.0,,,,,0.02029264649521919
1362556,13625563,SV,1,519.43,439.42,,,,,,,,,-319.1266666666667,58.54533333333334,3.0,15.0,0.8459657701711493
1363158,13631582,CK,1,2659.16,1080.81,,,,,-86.71961538461538,39.801764705882356,26.0,17.0,,,,,0.406447900840867
1362849,13628492,CK,1,173.86,3.98,,,,,-60.46,217.62117647058824,64.0,17.0,,,,,0.022891982054526628
1362622,13626223,SV,1,9223.34,13404.16,,,,,,,,,-115.31666666666666,174.10653846153843,3.0,26.0,1.453286987143486
1362624,13626243,SV,1,364.47,1028.01,,,,,,,,,-87.04,90.43125,9.0,16.0,2.82056136307515
1362598,4561143213625980,CC,0,1801.88,20.0,-20.0,157.44083333333333,1.0,12.0,,,,,,,,,0.011099518280906608
1362825,4561143213628250,CC,1,968.22,1000.0,-63.572941176470586,100.17916666666667,17.0,12.0,,,,,,,,,1.0328231187126893
1362487,13624873,SV,0,651.73,12.89,,,,,,,,,-109.0257142857143,15.5425,7.0,8.0,0.019778128979792246
1362875,13628753,SV,1,128.91,449.66,,,,,,,,,-96.05666666666667,40.59466666666666,3.0,15.0,3.4881700411139556
1362964,4561143213629640,CC,1,0.0,1000.0,-82.02000000000001,89.83375000000001,20.0,8.0,,,,,,,,,
1363335,13633352,CK,1,167.53,65.64,,,,,-49.086666666666666,224.13071428571428,66.0,14.0,,,,,0.39181042201396765
1362921,13629212,CK,1,266.04,0.0,,,,,-43.947804878048785,85.32333333333332,41.0,18.0,,,,,0.0
1363462,13634622,CK,1,2504.19,2421.03,,,,,-10.0,3.4525,12.0,12.0,,,,,0.9667916571825621
1362811,4561143213628110,CC,1,109.23,1000.0,-105.06294117647059,373.92333333333335,51.0,12.0,,,,,,,,,9.154994049253867
1362855,13628553,SV,1,167.71,161.04,,,,,,,,,-76.4125,30.2315,8.0,20.0,0.9602289666686541
1362973,4561143213629730,CC,1,0.0,734.81,-102.0475,296.45799999999997,36.0,10.0,,,,,,,,,
1362709,13627093,SV,1,134.28,917.33,,,,,,,,,-89.8725,60.081199999999995,8.0,25.0,6.831471551980935
1363392,13633922,CK,1,2723.71,87.69,,,,,-119.93135593220339,201.81500000000003,59.0,22.0,,,,,0.03219505747675046
1363313,4561143213633130,CC,1,875.86,11.12,-112.2090909090909,177.54,11.0,12.0,,,,,,,,,0.012696092982896808
1362573,13625733,SV,1,10712.86,10399.11,,,,,,,,,-288.1976923076923,143.03416666666666,13.0,24.0,0.9707127695125298
1363164,13631642,CK,1,315.15,312.13,,,,,-46.3725,222.38666666666668,72.0,15.0,,,,,0.9904172616214502
1362730,13627302,CK,0,224.6,19.1,,,,,-43.49722222222223,172.13,72.0,17.0,,,,,0.08504007123775602
1362509,4561143213625090,CC,0,877.49,10.0,-105.606,1471.665,75.0,6.0,,,,,,,,,0.01139614126656714
